price,area,bedrooms,address,address_clean,street,street_for_geo,location,latitude,longitude
20.0,55,3.0,"Đường Kim Mã,
                                    Phường Ba Đình,
                                    Hà Nội","Đường Kim Mã, Phường Ba Đình, Hà Nội",Đường Kim Mã,"Đường Kim Mã, Việt Nam","Số nhà 2/2C khu Ngoại Giao Đoàn, phố Kim Mã đường dưới, Phố Kim Mã, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0308599,105.8166626
10.5,37,3.0,"Phố Phan Kế Bính,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Phan Kế Bính, Phường Ngọc Hà, Hà Nội",Phố Phan Kế Bính,"Phố Phan Kế Bính, Việt Nam","Phố Phan Kế Bính, Cống Vị, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.034913,105.81013
9.9,30,3.0,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Đội cấn, Phường Ngọc Hà, Hà Nội",Phố Đội cấn,"Phố Đội cấn, Việt Nam","Phố Đội Cấn, Ngọc Hà, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0350221,105.8237481
,60,3.0,"Phố Vạn Phúc,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Vạn Phúc, Phường Ba Đình, Hà Nội",Phố Vạn Phúc,"Phố Vạn Phúc, Việt Nam","Phố Vạn Phúc, Kim Mã Thượng, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0335046,105.8155478
11.0,57,4.0,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội","Đường Kim Mã, Phường Ngọc Hà, Hà Nội",Đường Kim Mã,"Đường Kim Mã, Việt Nam","Số nhà 2/2C khu Ngoại Giao Đoàn, phố Kim Mã đường dưới, Phố Kim Mã, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0308599,105.8166626
16.4,59,4.0,"Phố Huỳnh Thúc Kháng,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Huỳnh Thúc Kháng, Phường Giảng Võ, Hà Nội",Phố Huỳnh Thúc Kháng,"Phố Huỳnh Thúc Kháng, Việt Nam","Phố Huỳnh Thúc Kháng, Láng Trung, Kẻ Láng, Phường Láng, Thành phố Hà Nội, 11528, Việt Nam",21.0202025,105.8075809
16.3,60,4.0,"Phố Nguyên Hồng,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Nguyên Hồng, Phường Giảng Võ, Hà Nội",Phố Nguyên Hồng,"Phố Nguyên Hồng, Việt Nam","Phố Nguyên Hồng, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.021617,105.8119248
65.0,100,5.0,"Phố Văn Cao,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Văn Cao, Phường Ngọc Hà, Hà Nội",Phố Văn Cao,"Phố Văn Cao, Việt Nam","Phố Văn Cao, Đồng Quốc Bình, Phường Gia Viên, Thành phố Hải Phòng, 18000, Việt Nam",20.8375079,106.7006624
7.95,40,3.0,"Phố Giang Văn Minh,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Giang Văn Minh, Phường Ngọc Hà, Hà Nội",Phố Giang Văn Minh,"Phố Giang Văn Minh, Việt Nam","Phố Giang Văn Minh, Ngọc Hà, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0340746,105.8271402
16.8,53,3.0,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Ngọc Khánh, Phường Giảng Võ, Hà Nội",Phố Ngọc Khánh,"Phố Ngọc Khánh, Việt Nam","Phố Ngọc Khánh, Giảng Võ, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0267835,105.8178095
16.0,48,5.0,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội","Đường Kim Mã, Phường Ngọc Hà, Hà Nội",Đường Kim Mã,"Đường Kim Mã, Việt Nam","Số nhà 2/2C khu Ngoại Giao Đoàn, phố Kim Mã đường dưới, Phố Kim Mã, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0308599,105.8166626
165.0,121,40.0,"Phố Cửa Bắc,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Cửa Bắc, Phường Ba Đình, Hà Nội",Phố Cửa Bắc,"Phố Cửa Bắc, Việt Nam","Phố Cửa Bắc, Tân Ấp, Phường Hồng Hà, Thành phố Hà Nội, 11025, Việt Nam",21.0467453,105.8438118
15.5,52,5.0,"Phố Ngọc Khánh,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Ngọc Khánh, Phường Ngọc Hà, Hà Nội",Phố Ngọc Khánh,"Phố Ngọc Khánh, Việt Nam","Phố Ngọc Khánh, Giảng Võ, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0267835,105.8178095
14.85,30,3.0,"Phố Hàng Than,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Hàng Than, Phường Ba Đình, Hà Nội",Phố Hàng Than,"Phố Hàng Than, Việt Nam","Phố Hàng Than, Hoè Nhai, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.0401934,105.8477013
5.9,20,3.0,"Phố Đội cấn,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Đội cấn, Phường Ba Đình, Hà Nội",Phố Đội cấn,"Phố Đội cấn, Việt Nam","Phố Đội Cấn, Ngọc Hà, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0350221,105.8237481
113.0,145,4.0,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Đội cấn, Phường Ngọc Hà, Hà Nội",Phố Đội cấn,"Phố Đội cấn, Việt Nam","Phố Đội Cấn, Ngọc Hà, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0350221,105.8237481
