,price,area,bedrooms,latitude,longitude
548,11.0,67,2.0,21.0427287,105.7506501
549,9.8,70,2.0,21.0598122,105.7455082
550,14.8,105,1.0,17.4703859,106.6084716
551,14.6,71,2.0,21.0778369,105.7776657
552,8.8,56,2.0,21.0525577,105.7854422
553,17.9,50,10.0,21.0474387,105.7633714
554,12.9,60,4.0,21.0474387,105.7633714
555,10.3,55,14.0,21.0827238,105.7335641
556,12.7,85,3.0,16.016326,108.2566913
557,9.1,65,5.0,21.0877222,105.7854689
558,12.3,45,5.0,21.0372649,105.7760404
559,9.4,55,5.0,21.0289957,105.7566889
560,12.3,60,7.0,21.0718111,105.7900863
561,12.3,70,13.0,21.0257605,105.8130654
562,9.1,40,6.0,21.0474387,105.7633714
563,10.8,65,14.0,21.0827238,105.7335641
564,11.6,60,4.0,21.0474387,105.7633714
565,12.3,70,4.0,21.0931473,105.7733983
566,11.4,45,4.0,21.0474387,105.7633714
567,13.9,105,5.0,21.0877222,105.7854689
568,12.1,60,6.0,21.0718111,105.7900863
569,9.1,65,5.0,10.7282649,106.7126125
570,14.7,55,13.0,21.0520091,105.7362606
571,12.3,45,5.0,21.0372649,105.7760404
572,13.0,55,7.0,21.0474387,105.7633714
573,13.2,60,10.0,21.0718111,105.7900863
574,12.85,50,4.0,21.0669503,105.7791
575,9.2,30,5.0,21.0520091,105.7362606
576,14.7,55,8.0,21.0669503,105.7791
577,14.5,130,9.0,21.0669503,105.7791
578,9.8,40,4.0,21.0854028,105.780628
579,15.7,61,18.0,21.1844204,106.0678927
580,8.7,35,4.0,21.0854028,105.780628
581,16.4,70,2.0,21.0502392,105.7526914
582,9.3,55,2.0,21.0931473,105.7733983
583,11.8,45,5.0,21.0926799,105.781169
584,10.7,55,3.0,21.0520091,105.7362606
585,11.0,75,4.0,21.0931473,105.7733983
586,15.2,85,3.0,21.0718111,105.7900863
587,13.6,60,6.0,21.0474387,105.7633714
588,13.6,50,4.0,21.0718111,105.7900863
589,16.3,55,13.0,21.0520091,105.7362606
